iter	Passed	Remaining
915	1770	162
916	1772	160
917	1773	158
918	1775	156
919	1777	154
920	1779	152
921	1780	150
922	1782	148
923	1784	146
924	1785	144
925	1787	142
926	1789	140
927	1791	138
928	1792	137
929	1794	135
930	1796	133
931	1798	131
932	1799	129
933	1801	127
934	1803	125
935	1805	123
936	1806	121
937	1808	119
938	1810	117
939	1811	115
940	1813	113
941	1815	111
942	1817	109
943	1819	107
944	1820	105
945	1822	104
946	1824	102
947	1826	100
948	1827	98
949	1829	96
950	1831	94
951	1833	92
952	1834	90
953	1836	88
954	1838	86
955	1840	84
956	1841	82
957	1843	80
958	1845	78
959	1847	76
960	1848	75
961	1850	73
962	1852	71
963	1854	69
964	1855	67
965	1857	65
966	1859	63
967	1861	61
968	1862	59
969	1864	57
970	1866	55
971	1868	53
972	1869	51
973	1871	49
974	1873	48
975	1875	46
976	1876	44
977	1878	42
978	1880	40
979	1882	38
980	1884	36
981	1885	34
982	1887	32
983	1889	30
984	1891	28
985	1892	26
986	1894	24
987	1896	23
988	1898	21
989	1900	19
990	1901	17
991	1903	15
992	1905	13
993	1906	11
994	1908	9
995	1910	7
996	1912	5
997	1914	3
998	1915	1
999	1917	0
